,220.4882
abroadhad,155.0
abroadhome,183.5
abroadi,178.0
abroadof,171.0
abroadyes,104.0
abrogate,131.5
abrogated,121.0
abrogating,140.5
abrogation,113.0
abrook,171.0
abrupt,159.15552
abrupta,292.0
abruption,146.0
abruptly,149.75092
abruptlya,170.0
abruptlynelly,209.0
abruptness,131.91064
abruptum,182.0
abruzzi,162.5
abruzzo,145.0
abs,55.0
absalom,149.69669
absaloms,93.25
abscess,141.0
abscindere,169.0
abscission,179.0
abscissum,165.0
abscond,159.0
absconded,147.4375
absconding,164.0
abscondit,133.0
absence,119.77816
absencea,177.0
absencean,106.0
absenceand,160.0
absencearranged,236.0
absencei,98.0
absencelong,198.0
absencenothing,241.0
absenceoh,192.0
absences,132.52628
absencesuetonius,80.0
absent,121.90494
absentbut,108.0
absented,139.13281
absentee,128.875
absentees,169.5
absentem,191.0
absentes,76.0
absenting,171.1875
absently,139.49615
absentminded,151.93648
absentmindedly,170.08203
absentmindedness,145.25562
absents,94.0
absentshe,132.0
absentthat,101.0
absentthe,149.0
absey,146.0
absinthe,151.03906
absintheporter,125.0
absinthium,206.0
absit,149.0
absohitur,90.0
absolute,148.00816
absolutely,169.10483
absolution,135.72427
absolutism,159.0
absolvd,106.25
absolve,134.78163
absolved,124.3064
absolvedjuvenal,82.0
absolvent,87.0
absolves,125.75
absolveth,107.0
absolving,160.625
absona,212.0
absorb,129.14355
absorbed,141.41849
absorbedthat,140.0
absorbing,153.75858
absorbingly,128.0
absorbs,139.40625
absorption,144.71048
absorptions,112.0
abstain,158.90123
abstaine,132.5
abstained,157.25552
abstainer,109.5
abstaining,210.76892
abstains,156.5625
abstemious,129.9375
abstemiousness,107.0
abstention,126.5
abstienstoi,129.0
abstinence,170.15611
abstinencebut,233.0
abstinences,190.0
abstinent,128.875
abstinet,127.0
abstract,95.90358
abstracted,114.05423
abstractedly,129.60596
abstracting,138.0
abstraction,113.57066
abstractions,143.9554
abstractionsof,130.0
abstractionsthe,196.0
abstractlet,143.0
abstractly,149.25
abstracts,164.5
abstruse,177.6842
abstruseness,123.0
abstrusest,137.0
abstrusiosities,151.0
absurd,133.18419
absurdas,125.0
absurdbut,134.0
absurde,143.0
absurdest,116.0
absurdissimum,82.0
absurditie,72.0
absurdities,124.548065
absurditiesat,136.0
absurdity,137.86603
absurdityactually,104.0
absurdityof,118.0
absurdly,170.39365
absurdthat,148.0
absurdthe,138.0
absurdum,184.25
absyrtus,127.0
abu,165.0
abulafia,113.0
abundance,130.0335
abundant,133.62234
abundantly,176.6236
abundantlybut,91.0
aburnin,103.0
abusd,110.71984
abuse,134.25801
abused,105.45407
abuser,124.5
abusers,194.0
abuses,169.39217
abusing,156.18137
abusive,158.34473
abut,141.9375
abutment,112.0
abuts,123.625
abutted,161.17969
abutting,117.5
abuyin,104.0
abuzz,170.0
aby,96.5
abydeans,198.0
abydos,130.75
abysm,122.75
abysmal,136.0
abyss,142.00456
abyssdown,150.0
abysses,96.93314
abyssesthe,105.0
abyssinia,121.75
abyssinian,86.0
abyssinians,103.0
abysswe,198.0
abysswho,133.0
ac,252.87018
acacia,133.25
acacias,80.109375
acad,158.00098
academe,155.0
academes,127.5
academia,273.0
academic,169.46582
academical,136.75
academically,101.0
academician,138.43823
academicians,101.25
academics,148.5
academie,135.5
academies,149.96875
academiques,173.0
academus,167.5
academy,124.54174
acadian,190.0
acadmicien,95.0
acallin,126.0
acalling,137.0
acamas,140.3125
acanthus,166.5
acanthusleaves,229.0
acanthuslike,232.0
acantsimply,126.0
acapring,141.0
acardiac,139.0
acarryin,137.0
acarus,159.0
acastus,125.0
acatalectic,135.0
acause,149.5
accad,109.0
acccording,130.0
accedas,250.0
accede,138.06494
acceded,174.79248
acceding,122.5
accelerate,123.63989
accelerated,177.17383
accelerating,147.75
acceleration,190.25
accendit,193.0
accent,140.7081
accentand,173.0
accented,178.5
accenthaving,200.0
accenting,134.5
accents,171.07304
accentsas,117.0
accentstay,133.0
accentuate,128.0
accentuated,152.99438
accentuates,216.0
accentuating,146.0
accentuation,107.5
accep,114.0
accepi,166.0
accepit,247.0
accept,111.637024
acceptable,125.12996
acceptableas,93.0
acceptably,111.375
acceptam,287.0
acceptance,138.75378
acceptancebut,171.0
acceptancethe,123.0
acceptat,94.0
acceptation,139.16211
acceptations,113.5
accepted,140.35399
acceptedis,241.0
acceptedmy,154.0
acceptest,128.0
accepteth,139.41113
accepthow,155.0
accepting,138.80731
acception,238.5
acceptions,100.0
acceptons,67.0
accepts,98.75423
acceptshe,164.0
acceptum,155.0
accesible,174.0
access,160.57315
accessary,130.875
accessed,250.0
accesses,120.5
accessibility,126.0
accessible,146.60902
accession,126.77097
accessions,231.5
accessories,143.0044
accessorily,270.0
accessory,154.86572
accheta,82.0
accho,113.0
accidence,177.0
accidens,98.5
accident,131.94035
accidenta,231.0
accidental,150.09416
accidentalcame,79.0
accidentall,133.0
accidentally,132.16977
accidentarily,114.0
accidentde,206.0
accidenthe,109.0
accidenti,99.0
accidentin,150.0
accidently,131.80078
accidentmost,108.0
accidents,138.97485
accidentsand,137.0
accidentsay,58.0
accidentth,236.0
accidere,83.0
accidunt,105.0
accipimus,253.0
accite,105.0
accited,94.0
accites,171.0
acclaim,151.28125
acclaimed,164.0
acclamation,156.75781
acclamations,154.88887
acclimatised,162.5
acclivities,213.0
acclivity,158.0
accolade,123.0
accolon,114.79208
accolons,146.625
accommodata,204.0
accommodate,119.09252
accommodated,135.79352
accommodates,124.0625
accommodating,157.25052
accommodatingly,101.0
accommodation,156.30508
accommodations,142.60062
accommodationsall,212.0
accommodationshops,156.0
accommodationsyour,273.0
accommodationwhich,94.0
accommodatum,106.0
accommodo,160.0
accompagner,151.0
accompanable,178.0
accompanid,123.0
accompanied,133.91652
accompanies,122.44702
accompaniment,93.81717
accompaniments,145.36142
accompanist,147.71875
accompany,155.8092
accompanyd,140.0
accompanying,117.20564
accompanyingmutiny,252.0
accompanyist,136.0
accompli,109.0
accomplice,96.83711
accomplices,148.76334
accomplicesone,102.0
accomplish,127.23441
accomplishd,114.171875
accomplished,97.934975
accomplishedbut,203.0
accomplishedor,190.0
accomplishedshe,114.0
accomplishedwere,137.0
accomplishes,125.09375
accomplishgayer,155.0
accomplishi,172.0
accomplishing,181.14674
accomplishment,105.08835
accomplishments,150.26857
accomplishmentthat,112.0
accompt,125.375
accomptbooks,300.0
accompted,127.0
accons,99.0
accord,109.034195
accordance,180.97356
accordant,147.75
accordas,173.0
accorded,138.01596
accordeth,95.75
according,127.072044
accordingly,147.2491
accordinglymy,214.0
accordion,204.0
accordment,174.0
accords,130.60547
accost,129.55963
accosted,124.117905
accosting,122.8125
accosts,118.0
accouchement,155.0
accouchements,118.0
accoucheur,126.75
accoucheuse,109.125
accoules,146.25
account,107.9517
accountability,112.0
accountable,143.43361
accountant,162.2494
accountants,132.5
accountbecause,93.0
accountbook,110.875
accountbooks,183.0
accountbut,144.0
accountconsisted,81.0
accounted,137.90308
accountfor,138.0
accounti,192.5
accounting,153.43806
accountit,155.0
accountno,77.0
accountnot,83.0
accountof,121.0
accounts,139.47913
accountsa,207.0
accountsconcerning,182.0
accountshe,136.5
accountst,81.0
accountsuch,185.0
accountwas,119.0
accountwe,147.0
accountwhich,111.0
accouterments,144.0
accoutre,158.0
accoutred,223.9375
accoutrement,140.9375
accoutrements,110.26758
accredited,129.875
accredits,186.0
accretion,188.0
accretions,172.0
accrew,129.0
accreweth,34.0
accrue,120.191895
accrued,94.5
accrues,160.5
accrueth,188.0
accruing,165.5
accumulate,130.90662
accumulated,221.06992
accumulatelet,116.0
accumulates,141.0
accumulating,133.72981
accumulation,144.59961
accumulations,169.92188
accumulative,120.25
accumulators,176.0
accuracy,115.52349
accurat,208.0
accurate,119.24385
accurately,135.74326
accuratelyany,205.0
accuratelybut,204.0
accursd,139.75708
accursed,171.78749
accursedof,124.0
accurst,104.0
accus,137.67188
accusat,175.0
accusation,137.6253
accusationinglethorp,125.0
accusations,139.33365
accusationthe,153.0
accusative,164.0
accusativo,152.5
accusatory,114.0
accusd,103.167786
accuse,147.58987
accuseclean,104.0
accused,151.82156
accuser,141.68369
accusers,170.80371
accuses,158.45845
accuseth,79.5
accusing,153.82593
accustom,145.86386
accustomary,127.625
accustomd,62.71875
accustomed,113.48929
accustoming,129.4375
accustoms,171.5
ace,130.37941
aceldama,109.0
acer,162.5
acerb,127.0
acerbae,93.0
acerbities,175.0
acerbity,194.5
acerbum,149.0
acerrimam,192.0
acerrimus,187.0
acervi,89.0
acervo,106.0
aces,141.5
acescit,187.0
acetic,83.0
acetones,93.0
acetous,170.0
aceyte,132.0
ach,171.66855
achaean,120.20268
achaeans,118.144
achaemenes,228.0
achaeus,122.0
achaffin,114.0
achaia,110.09131
achaian,114.249756
achaians,116.25
achaicus,137.0
achan,88.78125
achanging,155.0
achanthis,190.0
achar,119.0
acharging,90.0
acharyas,116.5
achates,140.25
achawed,89.0
achaz,275.5
achbor,96.234375
ache,154.64154
ached,129.65474
acheit,167.0
achelous,118.5
acheron,132.89062
acherontia,173.0
acherontis,224.0
aches,122.79287
achestnutting,87.0
achievd,161.92188
achieve,117.958084
achieved,163.11185
achievedmadame,99.0
achievement,142.86531
achievements,156.42581
achiever,141.0
achieves,82.5
achieving,132.80469
achille,205.0
achillean,240.0
achilleid,118.0
achilleis,94.0
achilleisgrote,139.0
achilles,110.25252
achilleses,91.0
achillesi,142.0
achilless,165.0
achim,168.0
aching,118.51485
achingin,96.0
achipping,158.0
achish,120.26838
achitophel,166.0
achmet,136.75
achmetha,95.0
achor,126.21875
achreoin,179.0
achsa,110.0
achsah,130.5
achshaph,124.0
achtung,134.0
achzib,127.75
acid,196.26038
acides,92.5
acids,135.875
acidulated,268.0
acidulous,153.0
acidumque,97.0
acie,234.0
acies,185.0
acite,161.0
acknowledgd,135.125
acknowledge,126.418015
acknowledged,144.23125
acknowledgeddid,108.0
acknowledgedthat,134.0
acknowledgedwhat,149.0
acknowledgement,123.3125
acknowledges,147.05957
acknowledgeth,150.875
acknowledging,178.47803
acknowledgment,99.555214
acknowledgmentfor,127.0
acknowledgments,132.08688
acknown,80.0
acksually,163.0
acky,195.0
acluttering,197.0
acme,98.71094
acockbill,272.0
acold,113.96875
acolyte,140.0
acolytes,236.375
acomin,129.23438
acoming,120.99951
aconite,151.46875
aconitum,111.0
acordo,84.0
acorn,132.50781
acorns,99.89844
acos,92.0
acostas,244.0
acoursing,160.0
acourting,111.0
acoustic,158.0
acoustical,180.0
acoustics,167.0
acquaint,100.69035
acquaintance,149.79407
acquaintancean,194.0
acquaintanceand,173.0
acquaintanceblot,79.0
acquaintancehe,127.0
acquaintancehow,112.0
acquaintanceoh,117.0
acquaintancepoor,190.0
acquaintances,127.344284
acquaintancesand,123.0
acquaintancesas,173.0
acquaintanceship,159.625
acquaintancetwo,147.0
acquainted,146.89017
acquaintedafforded,137.0
acquaintedat,122.0
acquaintedthey,111.0
acquainting,132.20227
acquaints,127.0
acquaviva,157.0
acqui,143.0
acquiescd,195.0
acquiesce,141.46288
acquiesced,142.6788
acquiescedfoolishly,177.0
acquiescence,122.59545
acquiescent,120.5
acquiesces,94.25
acquiescing,130.75
acquirable,150.0
acquird,131.23047
acquire,131.92545
acquireafter,76.0
acquired,110.35063
acquiredlucan,106.0
acquirement,156.21875
acquirements,131.32355
acquirementsa,83.0
acquires,151.85547
acquireth,134.0
acquiring,118.77111
acquiritur,247.0
acquisition,153.8628
acquisitionas,127.0
acquisitiongrote,152.0
acquisitions,135.49219
acquisitive,132.0
acquisitiveness,98.0
acquit,124.4263
acquitall,143.0
acquittal,122.84277
acquittalno,130.0
acquittance,132.5
acquittances,135.0
acquitted,183.32605
acquittedmy,79.0
acquitteth,151.5
acquitting,128.0
acracking,168.0
acre,124.29117
acres,143.17319
acrewkda,147.0
acri,119.5
acrid,123.18133
acridness,132.0
acrimonious,77.0
acrimony,190.875
acrior,226.0
acris,141.0
acrius,102.0
acrobat,184.25
acrobatic,164.0
acrobaticsattending,284.0
acrobats,167.0
acroneos,225.0
acropolis,105.5
across,173.11319
acrossa,129.0
acrosse,103.0
acrossin,134.0
acrosslot,182.0
acrosstill,107.0
acrosswhips,185.0
acrost,132.5
acrostic,148.75
acryin,160.0
acrying,130.0
act,97.70379
acta,112.0
actact,160.0
actaea,117.0
actaeon,137.25
actaeons,72.0
actalthough,118.0
actan,173.0
actarum,144.0
acte,112.0
acted,131.00368
actedand,151.0
actedmythologically,113.0
actedprudentius,130.0
actest,126.0
acteth,121.25
acti,213.0
acting,140.4136
actings,130.0
actingwell,80.0
action,120.24809
actiona,170.0
actionable,114.0
actione,248.0
actionhe,132.0
actioni,101.0
actionin,190.0
actionits,227.0
actionlet,128.0
actionnot,77.0
actions,152.54263
actionseeing,126.0
actionsintruding,139.0
actionsmay,152.0
actionsno,220.0
actionsthese,105.0
actionswhat,168.0
actionswith,113.0
actionswithout,135.0
actiontaking,410.0
actionthat,199.0
actionthe,179.0
actionthink,185.0
actionto,69.0
actionum,230.0
actionwas,253.0
actionwhen,171.0
actis,168.0
actit,100.0
actium,139.125
active,171.11461
actively,188.04675
activelywhen,138.0
activevaliant,184.0
activities,179.02202
activitiesthe,114.0
activity,120.04164
activityand,212.0
activityin,172.0
activitysoon,158.0
activitythe,126.0
activityto,170.0
actkicked,117.5
acton,225.0
actor,157.9097
actori,110.0
actors,113.92803
actorsthese,139.0
actorswas,139.0
actremember,104.0
actress,139.4791
actressan,135.0
actresses,201.21875
actresseswith,167.0
actresss,114.0
acts,98.38602
actsc,89.06689
actsfor,80.0
actshe,185.0
actsthe,202.0
acttalking,136.0
actthen,184.0
actu,262.0
actual,191.70792
actualities,134.0
actuality,141.17578
actualize,169.0
actuall,98.40625
actually,133.79832
actuallyplayed,193.0
actuary,188.0
actuate,159.76562
actuated,156.22241
actuates,149.25
actuating,151.0
actuly,132.25
actum,177.0
acture,88.0
actus,221.0
acuant,282.0
acuens,101.0
aculeata,90.0
acumen,153.73877
acuminated,142.0
acumine,95.0
acursing,152.0
acus,156.5
acushla,134.0
acushnet,98.0
acussing,122.0
acute,129.25229
acutehe,132.0
acutely,169.67804
acuteness,142.59254
acutenesswhich,197.0
acutest,136.1875
acutetwo,207.0
acutiores,236.0
acuto,165.0
ad,177.49089
ada,105.0
adadah,176.0
adag,155.0
adage,148.85938
adah,73.078125
adaiah,129.53125
adair,181.0
adalia,146.0
adallas,242.0
adam,99.70957
adamah,190.0
adamandeve,173.0
adamant,113.24173
adamantine,102.671875
adamas,67.0
adamastor,160.0
adamblacks,107.0
adamhe,141.0
adami,218.0
adams,169.34976
adamson,127.0
adamss,136.0
adancing,171.0
adapt,111.92836
adaptable,165.5
adaptableness,154.0
adaptation,149.35205
adaptations,176.9375
adapted,144.79874
adaptednow,176.0
adapting,145.85918
adapts,160.75
adar,92.90234
aday,144.25
adayes,119.0
adbeel,176.5
adbeowulf,190.0
adc,175.0
add,114.29976
addan,176.0
addar,128.0
adde,147.56758
added,153.59085
addedallusions,140.0
addedcome,144.0
addedhasten,80.0
addedi,173.5
addednothing,124.0
addedotherwise,118.0
addedstill,198.0
addedthat,135.0
addedthis,148.0
addedwe,139.0
addedwhere,145.0
addedyes,249.0
addenda,72.0625
addendum,99.0
adder,128.6075
addere,201.0
adderly,159.0
adders,142.3526
addes,106.5
addeth,132.96875
addi,74.0
addict,127.484375
addicted,141.46713
addictedness,130.0
addicti,225.0
addiction,119.125
adding,134.54526
addio,152.0
addiscerit,225.0
addison,111.03125
addisons,136.75
addit,311.0
addita,184.0
addition,120.77234
additiona,138.0
additional,162.54984
additionally,184.0
additions,127.86459
additionswas,98.0
addito,322.0
addle,87.25
addleaddle,208.0
addled,102.4375
addleheaded,165.0
addlepated,174.0
addlestone,144.125
addling,129.0
addo,62.0
addon,178.0
address,135.57274
addressd,103.103546
addressed,173.75476
addressee,165.5
addresser,110.0
addresses,152.78479
addressesand,123.0
addresseth,83.0
addressing,152.1389
addressingfor,132.0
addresslondon,59.0
addressyou,126.0
addrest,134.0
adds,178.90814
addthe,76.0
addtoo,153.0
adduce,157.44727
adduced,132.61804
adducing,196.0
addunt,99.0
adeimantus,125.81801
adeimantustaking,110.0
adela,132.5
adelada,182.36707
adelaide,158.75
adele,137.60431
adeles,163.11523
adeleyou,160.0
adelite,112.0
adella,154.0
adelmonte,144.03711
adelmontes,174.0
adelph,77.77344
adelphi,86.75
ademit,86.0
adempte,94.0
ademptum,166.0
aden,228.0
adenoids,299.0
adeo,269.292
adeone,125.0
adeoque,231.0
adept,102.39282
adepts,128.5625
adequacy,222.0
adequate,164.7409
adequately,152.09048
ader,158.0
ades,134.5
adest,159.0
adestrer,190.0
adfingere,118.0
adhaerance,69.0
adhaere,142.0
adhaerence,145.0
adhaerent,120.5
adhaereth,176.0
adhaering,146.0
adhere,107.15425
adhered,142.05765
adherence,138.76344
adherent,139.6875
adherents,144.08522
adherentsmilitary,142.0
adheres,123.0918
adhering,130.2922
adhesion,138.9375
adhesive,105.5
adhesiveness,120.0
adhibent,200.0
adhibere,191.0
adhiberi,121.0
adhibet,85.0
adhorent,245.0
adhorescunt,192.0
adhuc,161.0
adiaphane,127.75
adiel,146.5
adieu,138.53906
adieuadieu,155.0
adieus,148.33496
adieux,106.0
adige,94.0
adin,274.75
adina,94.0
adino,123.0
adinventiones,163.0
adios,196.0
adipose,133.5
adire,139.0
adithaim,193.0
aditum,210.0
aditura,124.0
aditus,154.5
adiutorium,139.0
adj,135.53906
adjacent,142.75778
adjective,177.25781
adjectives,62.0
adjecto,126.5
adjectum,158.0
adjicit,123.0
adjoin,131.375
adjoind,102.0
adjoined,144.91211
adjoining,133.0744
adjoiningdragging,172.0
adjoins,143.8125
adjourn,120.375
adjournd,121.5
adjourned,154.38567
adjourning,130.25
adjournment,148.8125
adjudgd,147.375
adjudged,113.171875
adjudication,179.0
adjudications,159.0
adjudicatis,220.0
adjunct,121.328125
adjuncta,229.0
adjuncts,123.5
adjungitur,177.0
adjuration,172.25
adjure,118.33203
adjured,150.95312
adjures,131.0
adjust,144.72617
adjusted,153.56052
adjusting,179.50757
adjustment,159.1247
adjustments,106.0
adjusts,165.5
adjutant,121.816315
adjutanta,185.0
adjutantgeneral,233.375
adjutantgenerals,119.0
adjutantguard,123.0
adjutants,181.87486
adjutantsgeneral,153.0
adjutantswas,159.0
adlai,113.0
adler,126.30704
admah,130.6875
admatha,118.0
admeasured,150.0
admeasurement,107.75
admeasurements,169.5
admetus,159.5
administer,160.81985
administered,130.87134
administering,144.71036
administers,143.8125
administrari,151.0
administration,108.0807
administrations,121.00952
administrative,161.97809
administrator,146.39844
administrators,110.0
administred,191.5
administring,110.0
admirable,164.21149
admirableeverything,114.0
admirableexcellently,173.0
admirablest,101.0
admirably,144.98557
admiral,94.30518
admiralgeneral,151.0
admirals,164.32861
admiralties,120.5
admiralty,170.4877
admirantur,231.5
admirari,120.0
admiratio,161.0
admiration,132.29915
admirationa,203.0
admirationbut,165.0
admirationlike,228.0
admirationlucretius,147.0
admirationshe,111.0
admirationthe,202.0
admird,131.48633
admire,132.61713
admired,108.97573
admiredand,100.0
admirer,127.170074
admirers,149.07205
admires,144.74948
admireth,69.0
admiring,196.14224
admiringly,140.28642
admissible,173.67017
admissibly,232.0
admission,118.91818
admissionfor,113.0
admissions,114.73389
admit,122.11107
admithe,146.0
admits,113.811806
admittance,154.07513
admitted,147.91692
admittedit,132.0
admittedly,175.0
admittedshe,232.0
admitteth,125.0
admitting,163.57576
admixture,130.4375
admixturesome,177.0
admodum,215.0
admonish,146.35635
admonishd,153.0
admonished,160.10965
admonisher,148.5
admonishes,174.0
admonisheth,126.0
admonishing,142.44336
admonishingly,128.0
admonishment,118.0
admonishments,168.0
admonitaeque,259.0
admonition,109.30266
admonitionis,68.0
admonitions,140.9107
admonitory,134.53125
admonuit,244.0
adna,177.5
adnah,158.0
ado,139.37192
adoin,148.0
adoing,87.85156
adolescence,130.5625
adolescentem,287.0
adolescentibus,170.0
